"pos","rs_id","X3571428.500000","X357142.937500","X257030.656250","X184981.281250","X133128.375000","X95810.585938","X68953.507812","X49624.847656","X35714.292969","X25703.064453","X18498.126953","X13312.836914","X9581.057617","X6895.350098","X4962.484863","X3571.429199","X2570.306396","X1849.812622","X1331.283691","X958.105774","X689.534973","X496.248444","X357.142914","X257.030640","X184.981262","X133.128357","X95.810577","X68.953499","X49.624844","X35.714287","X0.000000","when_DAF_is_half","when_mutation_has_freq2","population"
10122953,".",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-6.29509,-3.86424,-2.99228,-1.76268,-1.42884,-0.987813,-0.96179,-1.19143,-0.559613,-0.761888,-1.64426,0,-1.39061,-6.29509,"CDX"
11859476,".",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-5.07077,-4.02008,-3.19809,-2.28595,-2.10128,-1.57619,-0.977768,-1.61005,-1.66417,-0.557903,0,-2.69332,-6.64483,"CDX"
11864438,".",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-5.07077,-4.02008,-3.19809,-2.28595,-2.10128,-1.57619,-0.977768,-1.61005,-1.66417,-0.557903,0,-2.69332,-6.64483,"CDX"
32635171,".",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-6.58804,-5.45895,-3.41827,-2.7647,-2.24737,-1.73044,-1.55599,-1.1815,-0.933064,-0.80943,-0.399554,-0.202704,-0.298736,0,-2.22411,-6.58804,"CDX"
105249963,".",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-6.1175,-5.1637,-4.04624,-3.49276,-2.61079,-1.43111,-0.880012,-0.58166,-0.612386,-0.38437,-0.240353,-0.15279,-0.228024,-0.150998,0,-1.40614,-6.1175,"CDX"
3712725,".",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-5.31824,-3.1641,-1.81892,-0.879889,-0.836077,-0.55238,-0.439584,-0.609713,-0.366916,-0.877111,-0.129806,0,0,-1.08669,-6.50623,"CHB"
3713920,".",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-6.5735,-5.41403,-3.75372,-2.72467,-2.34696,-1.79115,-1.2686,-1.23448,-0.498734,-0.120926,-0.0400259,0,-2.06253,-9.86443,"CHB"
3717514,".",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-6.6745,-5.34847,-3.97524,-3.51701,-2.69674,-1.78978,-1.71195,-1.00312,-1.38504,-0.602337,0,0,0,-2.63504,-6.90527,"CHB"
3720564,".",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-6.07486,-5.47213,-4.49715,-3.32555,-3.03137,-2.3405,-1.55688,-1.52831,-0.898814,-1.3108,-0.570144,0,0,0,-2.39925,-6.07486,"CHB"
3720591,".",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-6.07486,-5.47213,-4.49715,-3.32555,-3.03137,-2.3405,-1.55688,-1.52831,-0.898814,-1.3108,-0.570144,0,0,0,-2.39925,-6.07486,"CHB"
3721203,".",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-6.07486,-5.47213,-4.49715,-3.32555,-3.03137,-2.3405,-1.55688,-1.52831,-0.898814,-1.3108,-0.570144,0,0,0,-2.39925,-6.07486,"CHB"
3721452,".",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-6.07486,-5.47213,-4.49715,-3.32555,-3.03137,-2.3405,-1.55688,-1.52831,-0.898814,-1.3108,-0.570144,0,0,0,-2.39925,-6.07486,"CHB"
32812742,".",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-6.44963,-5.26956,-3.49576,-3.5287,-2.69646,-2.79555,-2.3411,-1.77063,-1.15857,-0.712739,0,0,-3.15776,-6.19174,"CHB"
47349640,".",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-6.06731,-5.65412,-3.80532,-2.38106,-1.40443,-0.438846,-0.632037,-1.90485,-0.362553,0,0,-1.54411,-6.06731,"CHB"
47352820,".",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-8.49292,-5.40203,-3.07212,-1.90421,-0.916986,-1.01208,-2.26805,-0.416071,0,0,-2.05606,-8.20242,"CHB"
151669901,".",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-6.5415,-4.60227,-2.85652,-2.03514,-1.39892,-1.54398,-0.818548,-0.504676,-0.967806,-0.554425,-0.0775602,0,-1.64488,-8.53576,"CHB"
3706646,".",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-5.76662,-4.18803,-3.70413,-4.02322,-3.49165,-3.2834,-3.42243,-2.8342,-2.08006,-1.20419,-0.261495,0,-2.43612,-6.34196,"CHS"
10214581,".",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-6.55809,-5.03432,-4.30144,-4.23567,-3.61208,-3.22323,-2.45509,-2.1945,-1.85507,-1.52754,-1.01046,0,-2.5395,-9.20117,"CHS"
122431333,".",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-4.27551,-3.16974,-2.97006,-2.02933,-1.55215,-2.07167,-1.54353,-1.25739,-0.74421,-0.455002,-0.279814,-0.465315,0,-0.937105,-6.22082,"CHS"
141669308,".",1,1,1,1,1,1,1,1,1,1,1,1,1,1,-6.1283,-5.09181,-3.86774,-3.26397,-3.01688,-2.20039,-1.57352,-1.36246,-1.22372,-0.74513,-0.877915,-0.758221,-0.347824,-0.528395,-0.298031,-0.177496,0,-1.01917,-6.1283,"CHS"
49962327,".",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-5.77423,-5.21792,-4.46398,-3.54123,-3.07402,-2.35739,-2.14512,-1.75329,-1.23355,-0.910868,-0.689957,-0.46336,-0.37464,0,-1.7661,-6.61933,"JPT"
142111497,".",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-5.7313,-5.31289,-4.67495,-2.85507,-2.30651,-1.77164,-1.20818,-0.760519,-0.471592,-0.520951,-0.254817,-0.129167,-0.173472,-0.346569,0,-1.40929,-6.26781,"JPT"
20348765,".",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-6.91793,-5.58301,-4.27081,-2.58526,-2.94817,-1.95356,-1.43895,-1.90907,-1.04105,-0.767756,-1.11344,-1.69513,0,-2.04252,-6.05583,"KHV"
20349644,".",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-6.622,-4.80375,-2.70736,-3.20245,-2.05429,-1.41084,-1.71206,-0.835151,-0.536052,-0.957895,-1.26733,0,-1.7731,-8.27088,"KHV"
69126919,".",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-6.92639,-4.10753,-2.39112,-2.10171,-2.18376,-1.74292,-2.05265,-1.093,-1.35798,-1.18241,-1.26177,-1.0025,0,-1.33815,-6.76224,"KHV"
151669901,".",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-5.3608,-4.90525,-4.2228,-3.07553,-3.58907,-2.8352,-2.60176,-1.69462,-2.29272,-1.72275,-1.23222,-1.0982,0,-2.15558,-7.15834,"KHV"
153982797,".",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-5.84053,-3.94884,-2.82204,-2.45057,-2.17494,-1.28059,-1.0344,-1.27915,-0.71753,-0.367623,-0.427696,0,-1.28947,-6.1144,"KHV"
