"pos","rs_id","X3571428.500000","X357142.937500","X257030.656250","X184981.281250","X133128.375000","X95810.585938","X68953.507812","X49624.847656","X35714.292969","X25703.064453","X18498.126953","X13312.836914","X9581.057617","X6895.350098","X4962.484863","X3571.429199","X2570.306396","X1849.812622","X1331.283691","X958.105774","X689.534973","X496.248444","X357.142914","X257.030640","X184.981262","X133.128357","X95.810577","X68.953499","X49.624844","X35.714287","X0.000000","when_DAF_is_half","when_mutation_has_freq2","population"
18861677,".",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-6.38066,-4.6207,-3.64706,-3.73337,-2.42299,-1.48902,-0.64849,-0.597739,-1.04837,-0.741127,-0.417716,-0.544644,-0.187459,0,-0.890654,-6.38066,"GBR"
18865240,".",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-5.17312,-3.97129,-3.81161,-3.13956,-1.89624,-0.79519,-0.639418,-0.897673,-0.582284,-0.612257,-0.702097,-0.241534,0,-0.991791,-6.72386,"GBR"
18867826,".",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-6.54745,-4.91277,-4.93631,-4.87689,-4.19079,-2.43319,-1.31971,-1.1376,-0.715037,-0.976634,-0.57218,-0.612715,-0.132271,0,-1.33969,-6.54745,"GBR"
18867954,".",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-7.04462,-6.39453,-5.88098,-4.87138,-2.77829,-1.4724,-1.12709,-0.618784,-1.21598,-0.720713,-0.718903,-0.155134,0,-1.42304,-7.78284,"GBR"
18868013,".",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-6.54745,-4.91277,-4.93631,-4.87689,-4.19079,-2.43319,-1.31971,-1.1376,-0.715037,-0.976634,-0.57218,-0.612715,-0.132271,0,-1.33969,-6.54745,"GBR"
18868321,".",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-6.54745,-4.91277,-4.93631,-4.87689,-4.19079,-2.43319,-1.31971,-1.1376,-0.715037,-0.976634,-0.57218,-0.612715,-0.132271,0,-1.33969,-6.54745,"GBR"
18869711,".",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-6.54745,-4.91277,-4.93631,-4.87689,-4.19079,-2.43319,-1.31971,-1.1376,-0.715037,-0.976634,-0.57218,-0.612715,-0.132271,0,-1.33969,-6.54745,"GBR"
18870775,".",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-6.54745,-4.91277,-4.93631,-4.87689,-4.19079,-2.43319,-1.31971,-1.1376,-0.715037,-0.976634,-0.57218,-0.612715,-0.132271,0,-1.33969,-6.54745,"GBR"
23031501,".",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-6.42764,-3.14591,-2.3627,-2.0884,-1.48483,-1.50534,-0.942533,-1.22059,-0.965536,-0.368182,-0.0680813,-0.0850087,0,-1.71908,-6.42764,"GBR"
23055249,".",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-7.30795,-8.94402,-5.46168,-3.71717,-2.65347,-2.18797,-1.19526,-1.06583,-0.721156,-0.976635,-0.791334,-0.344289,0,-1.71908,-6.42764,"GBR"
37856563,".",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-6.02204,-5.069,-4.17847,-4.07373,-3.19049,-2.26263,-1.52738,-1.11373,-1.21191,-0.756956,-0.900013,-0.542338,-0.274853,-0.107354,0,-1.404,-6.02204,"GBR"
123182158,".",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-6.02204,-5.48645,-4.72541,-3.75111,-2.97267,-2.08312,-1.50374,-1.01232,-1.11373,-1.28667,-0.67342,-0.798756,-0.573378,-0.162291,-0.0801976,0,-2.31842,-6.02204,"GBR"
18861677,".",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-5.31897,-3.0962,-2.18772,-0.751491,-0.581996,-0.497064,-1.31018,-1.75238,-1.76419,-0.815111,-1.44027,-0.686793,0,-1.50094,-7.08254,"FIN"
18865240,".",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-6.09292,-3.47225,-2.45342,-1.14173,-0.869555,-0.725428,-1.61973,-2.07489,-2.04986,-0.97421,-1.61735,-0.773151,0,-1.72587,-7.46031,"FIN"
18867954,".",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-6.95603,-3.87167,-2.73383,-1.61887,-1.22053,-1.00217,-1.96075,-2.42203,-2.35444,-1.1472,-1.80302,-0.864101,0,-2.66975,-8.49413,"FIN"
29885865,".",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-5.49672,-4.44646,-3.58569,-2.99439,-4.13165,-4.17842,-4.34933,-3.77854,-3.28068,-2.39579,-1.91438,-1.3056,-0.872512,-0.540191,0,-3.48657,-6.03124,"FIN"
31233177,".",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-6.20754,-4.52143,-2.97469,-2.50993,-2.55849,-2.94872,-2.86184,-1.49306,-1.37949,-1.22785,-0.508406,-0.601237,-0.825347,-1.87654,0,-1.65035,-6.20754,"FIN"
33197960,".",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-4.58584,-4.4276,-3.94475,-3.1801,-2.57093,-1.35535,-0.945312,-0.370819,-0.263575,-0.160826,-0.496685,-0.624327,-0.415845,0,-0.542288,-6.15011,"FIN"
129768887,".",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-5.08033,-4.44646,-3.41957,-2.87189,-2.45158,-1.7704,-1.34539,-1.02332,-0.383824,-0.859191,-0.705454,-0.411445,-0.224609,-0.809955,-0.454254,0,-1.63073,-6.03124,"FIN"
3695150,".",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-7.37014,-6.28794,-4.6216,-3.31992,-2.64374,-2.56725,-2.56472,-2.33498,-1.80624,0,-2.72481,-8.49656,"IBS"
3695161,".",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-8.12887,-5.81698,-5.15502,-3.85556,-2.7656,-2.22459,-2.19276,-2.21791,-2.04428,-1.5943,0,-2.2889,-6.60436,"IBS"
3695182,".",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-8.12887,-5.81698,-5.15502,-3.85556,-2.7656,-2.22459,-2.19276,-2.21791,-2.04428,-1.5943,0,-2.2889,-6.60436,"IBS"
3695715,".",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-8.12887,-5.81698,-5.15502,-3.85556,-2.7656,-2.22459,-2.19276,-2.21791,-2.04428,-1.5943,0,-2.2889,-6.60436,"IBS"
3696045,".",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-8.12887,-5.81698,-5.15502,-3.85556,-2.7656,-2.22459,-2.19276,-2.21791,-2.04428,-1.5943,0,-2.2889,-6.60436,"IBS"
5401747,".",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-6.38808,-5.34607,-4.64309,-3.49872,-2.42731,-2.12967,-1.75627,-1.48656,-1.01586,-0.62501,-0.631174,-0.47549,-0.433476,-0.499082,-0.277279,0,-0.755897,-6.38808,"IBS"
5403309,".",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-6.38808,-5.34607,-4.64309,-3.49872,-2.42731,-2.12967,-1.75627,-1.48656,-1.01586,-0.62501,-0.631174,-0.47549,-0.433476,-0.499082,-0.277279,0,-0.755897,-6.38808,"IBS"
